id,Completed,Last page,Start language,Date started,Date last action,Referring URL,consent,prolificID,age,gender,gender - comment,statements [1],statements [2],statements [3],statements [4],statements [5],statements [6],statements [7],statements [8],statements [9],statements [10],statements [11],statements [12],statements [13],statements [14],statements [15],statements [16],statements [17],statements [18],statements [19],statements [20],statements [21],statements [22],statements [23],statements [24],statements [25],statements [26],statements [27],statements [28],statements [29],statements [30],statements [31],statements [32],statements [33],statements [34],statements [35],statements [36],statements [37],statements [38],statements [39],statements [40],statements [41],statements [42],statements [43],statements [44],statements [45],statements [46],statements [47],statements [48],statements [49],statements [50],statements [51],statements [52],statements [53],statements [54],statements [55],statements [56],statements [57],statements [58],statements [59],statements [60],statements [61],statements [62],statements [63],statements [64],statements [65],statements [66],statements [67],statements [68],statements [69],statements [70],statements [71],statements [72],statements [73],statements [74],statements [75],statements [76],statements [77],statements [78],statements [79],statements [80],statements [81],statements [82],statements [83],statements [84],statements [85],statements [86],statements [87],statements [88],statements [89],statements [90],statements [91],statements [92],statements [93],statements [94],statements [95],statements [96],statements [97],statements [98],statements [99],statements [100],statements [101],statements [102],statements [103],statements [104],statements [105],statements [106],statements [107],statements [108],statements [109],statements [110],statements [111],statements [112],statements [113],statements [114],statements [115],statements [116],statements [117],statements [118],statements [119],statements [120],statements [121],statements [122],statements [123],statements [124],statements [125],statements [126],statements [127],statements [128],statements [c1],statements [c2],statements [c3],statements [c4],interviewtime,groupTime641,consentTime,groupTime631,prolificIDTime,ageTime,genderTime,groupTime621,statementsTime
381,06/01/17 18:23,3,en,06/01/17 18:12,06/01/17 18:23,https://www.prolific.ac/submissions/586fd013460cb5000183fe32,Y,,24,m,,3,2,3,1,3,3,4,4,1,4,2,2,4,3,2,4,3,2,3,3,1,1,2,2,2,1,3,5,3,2,1,4,2,2,3,3,2,4,4,2,2,2,4,4,2,4,2,1,3,2,3,4,4,3,2,4,3,4,4,4,2,1,2,4,4,3,4,4,3,3,3,3,3,4,4,4,3,2,5,5,3,4,3,3,4,4,4,2,2,1,3,2,2,3,4,2,2,3,3,4,3,1,5,3,4,3,4,2,2,4,3,4,3,4,3,4,4,2,4,2,4,3,4,4,3,3,3,3,4,4,1,2,647.89,5.92,,6.6,,,,635.37,
391,06/01/17 18:22,3,en,06/01/17 18:12,06/01/17 18:22,https://www.prolific.ac/submissions/586fd010127d7700018b1595,Y,,25,m,,1,1,1,1,1,4,4,5,1,5,1,2,2,1,1,5,3,1,1,3,1,1,1,1,2,1,4,4,2,1,1,4,1,1,3,1,1,1,1,1,1,1,5,5,1,1,2,1,1,1,4,1,5,1,1,5,1,2,4,5,2,2,1,5,1,4,5,2,1,4,1,1,1,5,1,3,1,1,5,3,3,1,5,1,1,4,5,1,2,1,1,4,5,2,5,1,1,3,1,4,4,4,5,1,5,1,5,1,1,5,1,4,1,5,1,2,5,1,5,1,5,3,4,4,1,1,1,1,4,4,2,2,559.63,21.8,,10.19,,,,527.64,
401,,,en,06/01/17 18:12,06/01/17 18:12,https://www.prolific.ac/submissions/586fd0121ed9d1000105061f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
411,06/01/17 18:22,3,en,06/01/17 18:12,06/01/17 18:22,https://www.prolific.ac/submissions/586fd0146cb8dd0001a29af2,Y,,54,m,,1,1,2,1,1,1,4,5,1,5,1,2,2,1,1,5,2,1,1,1,2,4,1,1,1,1,1,5,1,2,1,5,1,1,1,1,4,3,1,1,1,1,4,1,2,5,1,1,1,1,4,2,4,5,1,5,1,1,4,5,1,2,1,5,4,2,4,4,1,1,1,1,1,1,1,2,1,5,4,4,1,2,1,1,1,1,4,1,1,1,1,2,4,4,5,1,1,1,1,4,1,1,5,1,5,1,4,1,1,4,1,5,1,4,1,2,5,1,5,1,5,2,5,5,1,1,1,1,4,4,2,2,573.11,21.35,,22.76,,,,529,
421,06/01/17 18:29,3,en,06/01/17 18:12,06/01/17 18:29,https://www.prolific.ac/submissions/586fd015db3e720001e230a0,Y,,31,f,,2,2,4,2,2,2,4,5,1,5,1,4,4,2,1,5,4,1,1,4,2,1,2,1,1,1,4,5,1,1,1,5,2,1,4,2,4,4,2,2,2,2,5,4,2,5,2,2,4,1,5,4,4,4,2,5,1,5,4,5,1,4,1,4,4,4,5,5,1,4,1,4,4,4,2,4,1,4,5,5,5,5,4,1,4,4,5,1,2,1,1,2,4,1,5,2,2,2,2,5,5,2,5,2,5,1,4,1,2,5,1,5,1,5,1,4,4,2,5,1,5,4,5,5,2,2,1,1,4,4,2,2,803.15,264.43,,11.61,,,,527.11,
431,06/01/17 18:23,3,en,06/01/17 18:12,06/01/17 18:23,https://www.prolific.ac/submissions/586fd017abc6690001ece967,Y,,28,m,,1,1,4,1,1,1,4,5,1,4,1,4,3,1,1,5,2,1,1,1,1,1,1,1,1,1,1,4,2,1,1,5,1,1,3,1,4,3,2,1,2,1,4,3,1,4,2,1,1,1,4,1,5,1,1,4,1,4,4,5,1,1,1,4,5,5,4,5,2,4,1,1,2,5,1,4,1,2,4,4,1,4,1,1,1,1,4,1,1,2,2,4,4,2,4,1,1,1,1,4,1,1,5,1,5,1,4,2,1,5,1,5,1,4,4,4,5,2,5,1,1,4,4,4,1,3,1,1,4,4,2,2,632.18,24.68,,11.45,,,,596.05,
441,06/01/17 18:18,3,en,06/01/17 18:12,06/01/17 18:18,https://www.prolific.ac/submissions/586fd00cde1cea0001f7a33c,Y,,51,f,,1,2,3,1,1,1,2,4,1,4,1,1,1,2,1,4,2,1,3,1,2,1,1,1,1,1,1,3,1,1,1,3,1,1,2,2,3,4,1,1,1,1,4,1,2,3,1,1,2,1,2,2,4,3,2,3,1,2,2,4,1,1,1,4,3,3,4,3,1,2,1,1,1,3,1,2,1,3,4,3,1,2,2,1,1,1,3,1,1,1,1,2,3,1,4,1,1,1,1,3,2,1,4,1,4,1,3,1,2,4,2,3,2,3,1,1,3,1,3,1,4,2,4,4,1,1,2,1,4,4,2,2,348.36,7.78,,17.87,,,,322.71,
451,06/01/17 18:26,3,en,06/01/17 18:13,06/01/17 18:26,https://www.prolific.ac/submissions/586fd019460cb5000183fe33,Y,,46,m,,2,2,4,2,2,2,4,4,2,4,2,2,4,2,4,4,4,2,2,2,2,2,2,2,2,2,2,4,3,2,2,3,2,2,2,2,4,4,2,2,2,2,4,4,2,4,2,2,2,2,2,4,4,4,2,4,2,2,2,4,2,2,2,4,4,4,4,4,3,4,2,2,2,4,2,4,2,4,4,4,2,4,4,2,2,2,4,2,2,2,2,4,4,2,4,2,2,2,2,4,2,2,4,2,4,2,2,2,2,4,2,4,2,4,2,4,3,2,4,2,4,2,4,4,2,2,2,2,4,4,2,2,823.81,30.8,,12.71,,,,780.3,
461,06/01/17 18:31,3,en,06/01/17 18:13,06/01/17 18:31,https://www.prolific.ac/submissions/586fd012d22a5800014c5583,Y,,32,m,,1,1,4,1,1,1,2,5,1,5,1,3,4,3,1,5,4,1,3,1,3,1,1,1,1,1,2,5,1,1,1,5,1,3,3,1,4,4,1,1,1,1,5,1,4,4,1,1,1,1,3,1,4,4,1,5,2,5,3,5,1,4,1,5,5,5,5,4,1,4,1,1,1,5,1,3,1,5,5,5,2,4,4,1,1,2,5,1,1,1,1,5,5,3,5,1,1,1,1,4,4,1,5,1,5,1,5,1,1,5,1,4,4,4,1,2,5,1,5,1,1,3,5,5,1,1,1,1,4,4,2,2,774.39,17.92,,12.04,,,,744.43,
471,06/01/17 18:24,3,en,06/01/17 18:13,06/01/17 18:24,https://www.prolific.ac/submissions/586fd01a2bd3c900018599d5,Y,,26,f,,1,2,1,1,3,1,5,5,1,3,1,1,1,1,1,5,2,2,1,2,2,1,1,1,4,1,2,1,1,1,1,2,1,1,1,1,4,1,1,1,2,1,1,4,4,4,1,1,1,1,2,2,4,4,1,4,1,4,2,4,5,1,1,4,5,1,4,4,1,4,1,1,2,4,1,2,1,4,3,4,4,1,1,1,1,5,2,1,1,3,1,1,1,2,5,4,1,2,1,4,1,1,5,1,5,1,4,1,4,4,1,4,4,2,1,4,4,1,4,1,5,1,1,2,1,2,1,1,4,4,2,2,670.61,17.82,,11.91,,,,640.88,
481,,,en,06/01/17 18:13,06/01/17 18:13,https://www.prolific.ac/submissions/586fd011127d7700018b1597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
491,06/01/17 18:28,3,en,06/01/17 18:13,06/01/17 18:28,https://www.prolific.ac/submissions/586fd01de16d530001b34cf9,Y,,39,m,,1,1,4,1,1,1,2,5,1,5,3,1,1,1,1,5,2,1,1,3,1,1,1,1,1,1,4,5,3,1,1,4,1,1,4,1,3,4,1,1,1,1,5,1,1,4,1,1,1,1,1,4,5,3,1,4,1,2,4,5,1,1,1,4,5,4,4,2,1,3,1,2,2,5,1,3,1,4,5,5,2,4,5,1,1,1,4,1,1,1,1,4,5,1,5,1,1,1,1,4,2,1,5,1,5,1,2,1,1,4,1,4,1,5,2,2,4,1,5,1,2,1,5,5,1,1,1,1,4,4,2,2,886.32,217.21,,13.71,,,,655.4,
501,,,en,06/01/17 18:13,06/01/17 18:13,https://www.prolific.ac/submissions/586fd01dce4b2800017284a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
511,06/01/17 18:33,3,en,06/01/17 18:13,06/01/17 18:33,,Y,,36,f,,3,2,3,2,3,3,3,3,1,3,3,3,2,3,3,5,3,2,2,3,3,2,3,3,1,2,3,4,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,1,3,4,4,5,3,3,4,1,3,3,4,1,3,3,3,3,3,3,3,3,3,3,3,4,2,1,3,3,3,3,1,3,3,3,3,3,4,4,1,4,2,3,3,4,3,3,3,2,4,3,3,3,2,3,3,4,3,3,3,3,3,3,3,3,1,4,4,2,2,1195.98,21.16,,27.43,,,,1147.39,
521,06/01/17 18:19,3,en,06/01/17 18:13,06/01/17 18:19,https://www.prolific.ac/submissions/586fd01dce4b2800017284a3,Y,,26,m,,2,4,4,4,5,4,4,4,4,4,4,3,4,4,4,5,1,4,4,5,3,4,5,3,3,1,3,4,4,4,5,4,4,3,5,2,4,4,3,5,3,3,4,4,3,4,5,5,5,4,5,4,5,3,5,4,4,5,3,4,5,5,3,5,5,3,3,3,5,3,5,3,3,2,5,4,3,3,4,3,5,4,4,3,4,5,5,5,5,5,5,5,5,4,4,4,3,5,3,4,5,4,4,5,4,5,3,3,4,3,4,3,1,4,4,3,5,4,3,2,5,3,5,4,3,4,5,4,4,4,2,2,380.76,33.79,,27.77,,,,319.2,
531,06/01/17 18:34,3,en,06/01/17 18:13,06/01/17 18:34,https://www.prolific.ac/submissions/586fd0217e187d0001cb36ed,Y,,41,m,,1,2,2,1,2,1,4,5,1,4,2,1,1,1,1,5,1,1,1,1,2,1,1,1,3,1,1,3,1,2,1,4,1,1,1,1,1,4,1,1,1,1,4,1,1,4,2,1,2,4,2,1,4,4,2,4,1,2,4,4,2,1,1,2,5,4,4,4,2,4,1,1,3,4,1,1,2,4,4,4,4,5,2,2,1,4,2,1,1,1,1,4,4,4,5,2,1,2,1,4,2,1,5,2,3,1,1,1,2,4,1,5,2,1,1,2,4,1,4,5,4,2,4,5,1,2,1,2,4,4,1,2,1304.52,661.95,,27.1,,,,615.47,
541,06/01/17 18:24,3,en,06/01/17 18:13,06/01/17 18:24,https://www.prolific.ac/submissions/586fd021a763c900011d988b,Y,,36,m,,2,2,3,2,1,1,4,4,1,5,3,2,3,2,2,5,2,1,1,3,2,1,1,1,1,1,3,5,1,1,1,4,2,2,4,3,3,5,2,2,1,2,4,2,1,4,2,1,2,2,3,3,5,4,2,4,2,4,4,5,1,4,1,5,4,4,4,4,1,4,1,1,3,5,1,4,1,3,4,4,4,4,4,1,1,2,5,2,1,2,3,4,4,2,5,3,2,2,3,4,3,3,5,2,5,1,5,1,1,5,2,2,2,4,1,3,5,1,4,1,5,2,5,4,1,1,1,2,4,4,2,2,583.35,5.89,,12.76,,,,564.7,
551,06/01/17 18:19,3,en,06/01/17 18:13,06/01/17 18:19,https://www.prolific.ac/submissions/586fd0235c17910001ea4b8a,Y,,49,f,,1,2,4,2,1,1,1,5,1,4,2,2,1,1,1,2,1,1,4,1,1,1,2,1,1,1,4,4,1,1,1,2,1,2,2,2,1,4,1,1,1,2,4,1,1,4,1,1,1,4,1,3,5,1,4,2,1,4,4,5,2,1,1,4,1,2,5,5,1,1,1,4,2,5,1,1,1,2,5,4,2,1,4,1,1,2,4,1,1,1,1,1,4,4,5,1,1,1,1,5,1,1,5,1,5,1,5,1,2,5,1,4,1,2,1,1,4,1,2,1,5,1,5,4,1,2,1,1,4,4,1,1,392.82,12.68,,23.82,,,,356.32,
561,06/01/17 18:25,3,en,06/01/17 18:13,06/01/17 18:25,https://www.prolific.ac/submissions/586fd024c34844000174e7d4,Y,,29,m,,5,3,5,2,5,1,5,5,1,5,4,4,1,2,4,5,3,3,4,5,2,1,2,2,1,1,2,5,3,4,1,5,1,4,3,2,3,4,5,2,1,4,4,3,4,3,4,1,1,3,2,2,5,2,3,5,3,5,1,5,1,4,1,4,2,1,1,4,1,3,4,3,4,5,1,4,4,4,5,4,4,3,5,1,4,2,4,4,2,1,1,5,5,5,3,4,4,1,3,3,5,1,5,3,5,2,4,1,1,3,1,5,5,3,4,5,4,1,5,1,5,2,3,4,5,1,5,1,4,4,2,2,738.09,16.89,,14.47,,,,706.73,
571,06/01/17 18:37,3,en,06/01/17 18:13,06/01/17 18:37,https://www.prolific.ac/submissions/586fd01458ca4c00018ce2fe,Y,,20,m,,2,1,4,2,1,1,3,5,2,5,5,2,5,2,4,5,4,2,1,5,5,1,1,1,1,2,5,5,1,1,1,5,1,1,1,1,4,5,1,1,2,4,5,1,1,5,1,2,1,2,4,2,5,5,1,5,2,5,4,5,2,4,2,5,4,5,5,5,3,5,1,2,2,5,1,5,1,3,5,5,1,5,5,1,1,3,5,1,1,1,1,4,4,3,5,2,2,1,1,5,1,2,5,2,5,1,5,1,1,4,1,4,1,1,2,4,5,1,5,1,5,4,5,5,2,1,2,1,4,4,2,2,1420.91,10.02,,31.3,,,,1379.59,
581,06/01/17 18:25,3,en,06/01/17 18:14,06/01/17 18:25,https://www.prolific.ac/submissions/586fd017c34844000174e7d3,Y,,35,m,,2,1,2,1,1,1,4,4,1,5,4,1,4,2,1,5,2,2,2,2,2,1,1,1,2,2,1,5,2,1,2,2,2,2,4,2,2,2,2,2,2,2,4,1,2,4,1,1,1,4,4,2,5,4,2,5,1,5,2,5,2,1,2,4,2,5,5,5,2,4,1,2,4,1,1,4,1,4,5,1,2,5,4,2,1,1,5,1,1,1,1,4,4,4,5,2,2,2,2,4,4,1,5,2,5,1,4,1,1,5,2,5,4,5,2,4,4,2,5,1,5,2,4,5,1,2,1,1,4,4,2,2,674.72,25.59,,20.51,,,,628.62,
591,06/01/17 18:22,3,en,06/01/17 18:16,06/01/17 18:22,https://www.prolific.ac/submissions/586fd005d6df700001874650,Y,,27,m,,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,4,4,1,1,2,1,1,1,1,4,1,1,1,1,1,1,5,1,1,4,1,1,1,5,1,1,1,4,4,2,4,1,1,4,1,1,1,4,1,1,1,1,2,4,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,4,1,4,1,1,5,1,4,1,4,1,1,4,1,4,1,4,1,1,4,1,4,1,4,1,3,4,1,1,1,1,4,4,2,2,367.31,10.56,,7.52,,,,349.23,
601,06/01/17 18:26,3,en,06/01/17 18:20,06/01/17 18:26,https://www.prolific.ac/submissions/586fd1bfe9cb31000195ec38,Y,,21,m,,2,3,3,3,2,2,1,4,1,4,2,2,3,2,2,4,4,3,2,4,3,1,2,3,2,1,2,4,2,3,1,4,2,4,2,1,3,4,1,3,3,3,4,3,3,4,3,2,2,2,3,2,3,2,3,3,1,4,4,3,1,3,1,4,3,4,4,4,2,3,3,4,3,4,1,3,1,1,2,3,2,2,4,4,2,3,4,1,1,3,3,4,5,1,4,3,4,3,2,2,4,1,4,2,5,3,5,1,3,3,2,4,4,4,2,3,4,1,4,2,3,3,3,2,1,3,2,1,4,4,2,2,383.66,8.9,,27.52,,,,347.24,
611,06/01/17 18:31,3,en,06/01/17 18:20,06/01/17 18:31,https://www.prolific.ac/submissions/586fd1c3ce4b2800017284a4,Y,,21,m,,1,1,3,1,1,1,4,5,1,4,1,1,2,1,1,4,3,2,3,2,1,1,1,1,1,1,5,4,4,1,1,4,1,1,1,1,4,5,1,1,3,1,2,2,1,3,2,1,2,1,1,3,4,3,1,4,1,4,2,4,3,1,1,5,4,4,3,4,1,3,1,1,1,5,1,4,1,3,4,1,1,2,3,1,1,4,4,1,1,1,1,2,4,4,4,1,1,3,1,2,3,1,5,1,4,1,2,2,1,4,1,4,2,4,1,3,4,1,4,1,5,1,4,5,2,2,1,1,4,4,2,2,683.54,20.5,,20.85,,,,642.19,
621,06/01/17 18:29,3,en,06/01/17 18:22,06/01/17 18:29,https://www.prolific.ac/submissions/586fd00d859653000107a11d,Y,,61,m,,1,1,1,1,1,1,1,5,1,4,1,1,1,1,1,5,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,4,4,1,1,4,1,4,1,1,4,1,1,4,1,3,1,5,3,1,5,1,4,1,5,1,1,1,5,5,4,4,4,1,4,1,1,1,4,1,1,1,3,2,4,4,4,4,1,1,1,4,1,1,1,1,2,4,4,5,1,1,1,1,4,4,1,5,1,5,1,4,1,1,5,1,4,1,4,1,1,4,1,5,1,4,1,4,4,1,1,1,1,4,4,2,2,389.67,4.78,,8.1,,,,376.79,
631,06/01/17 21:05,3,en,06/01/17 20:58,06/01/17 21:05,http://www.prolific.ac/submissions/586ff6dea73baa00010dc20e,Y,,35,m,,1,1,4,1,1,4,2,4,1,5,1,4,2,2,1,5,4,1,3,2,4,2,1,1,2,1,1,4,2,1,1,4,1,1,4,1,4,4,1,1,1,1,4,5,5,5,2,1,2,5,3,3,5,5,1,5,1,4,4,4,1,4,1,4,1,4,4,4,4,4,1,1,4,5,1,4,1,1,4,4,4,1,2,1,1,4,4,1,1,1,1,1,5,4,5,1,2,4,2,5,4,1,5,1,5,1,4,1,1,5,1,5,1,4,1,4,4,1,5,1,4,2,5,5,1,2,1,1,4,4,2,2,418.6,6.33,,12.35,,,,399.92,
641,06/01/17 23:12,3,en,06/01/17 22:53,06/01/17 23:12,https://www.prolific.ac/submissions/587011db6e2f8d00015c5e1b,Y,,22,m,,1,1,4,2,2,1,5,5,1,5,2,3,2,1,1,5,5,1,2,1,1,1,2,1,1,1,4,4,1,1,1,4,1,1,4,1,3,3,3,1,1,1,4,3,4,4,3,1,3,2,1,5,5,4,3,5,1,4,3,4,3,3,1,4,4,4,4,3,2,4,1,1,1,5,1,3,1,4,5,4,3,4,4,1,1,3,4,1,1,1,1,4,4,3,5,1,1,2,2,5,4,1,5,1,4,1,4,1,3,5,2,4,4,5,2,4,4,1,4,1,5,2,4,4,1,1,3,1,4,4,2,2,384.63,8.08,,6.82,,,,369.73,
651,06/01/17 23:02,3,en,06/01/17 22:53,06/01/17 23:02,https://www.prolific.ac/submissions/587011dd460cb5000183fe5b,Y,,37,f,,2,3,3,1,2,2,4,4,2,4,2,2,4,2,2,4,3,2,2,4,3,2,2,2,2,2,2,4,3,2,2,4,2,2,4,2,4,4,2,2,3,2,4,2,2,4,3,2,4,2,3,4,4,4,2,4,2,1,4,4,2,2,3,4,4,4,4,4,3,3,2,2,2,4,2,4,2,4,3,4,2,4,2,2,2,2,4,3,2,2,2,4,4,3,4,2,2,3,2,4,3,1,5,3,4,2,2,2,2,4,2,4,2,4,2,4,4,2,4,2,4,3,4,4,2,3,3,1,4,4,2,2,539.88,4.56,,8.12,,,,527.2,
661,06/01/17 23:01,3,en,06/01/17 22:53,06/01/17 23:01,https://www.prolific.ac/submissions/587011e11c35f2000195590c,Y,,29,m,,1,3,3,1,3,1,5,5,1,5,3,1,2,1,2,5,2,3,2,2,2,1,1,1,1,1,5,5,3,2,1,5,3,3,4,2,4,1,1,3,3,1,5,4,1,4,3,1,3,2,3,4,5,4,2,5,1,3,3,5,1,1,1,5,5,2,4,3,3,4,1,4,2,4,1,4,1,5,5,3,3,3,4,1,1,3,5,3,1,1,1,4,4,3,5,1,1,1,2,4,2,1,5,1,5,1,4,1,1,5,1,5,3,5,1,5,5,1,5,2,4,2,5,5,1,3,1,1,4,4,2,2,496.03,8.58,,11.64,,,,475.81,
671,06/01/17 23:00,3,en,06/01/17 22:53,06/01/17 23:00,https://www.prolific.ac/submissions/587011e2de1cea0001f7a363,Y,,24,f,,1,1,4,1,1,1,3,4,1,4,1,2,1,2,1,5,1,1,1,2,2,1,1,1,1,1,3,5,1,1,1,4,1,1,4,1,4,4,1,1,1,1,5,1,2,4,2,1,1,1,2,2,5,2,1,4,1,1,2,5,1,1,1,4,4,4,4,3,1,4,1,1,1,4,1,1,1,1,5,4,3,1,1,1,1,2,3,1,1,1,1,3,4,2,4,1,1,1,1,4,1,1,5,1,4,1,4,1,1,5,1,5,1,4,1,2,4,1,4,1,5,1,5,4,1,1,1,1,4,4,2,2,427.78,8.11,,12.58,,,,407.09,
681,06/01/17 23:05,3,en,06/01/17 22:53,06/01/17 23:05,https://www.prolific.ac/submissions/587011e2a7f6480001ed9df1,Y,,38,m,,1,1,3,1,1,1,1,5,1,5,4,1,2,3,2,5,1,1,1,2,3,1,2,1,1,1,3,5,1,3,1,4,1,1,3,3,4,4,1,1,1,1,3,1,1,4,3,1,1,1,3,5,4,4,2,4,1,1,3,5,1,3,1,5,5,4,4,4,1,4,1,1,1,5,1,3,1,4,5,5,1,4,5,1,1,4,4,1,2,1,1,3,5,2,5,3,1,2,2,4,4,1,4,2,5,1,4,1,1,4,1,5,1,5,3,3,4,1,5,1,4,3,5,4,1,3,1,1,4,4,2,2,718.11,40.29,,31.44,,,,646.38,
691,06/01/17 23:01,3,en,06/01/17 22:53,06/01/17 23:01,https://www.prolific.ac/submissions/587011e4d53c97000159dbc6,Y,,35,m,,1,2,4,1,2,1,4,5,1,5,2,4,4,1,1,4,4,1,2,2,2,1,1,1,1,1,1,4,1,3,1,5,2,2,4,1,2,5,3,4,2,1,5,3,4,5,2,1,1,5,4,2,5,5,2,5,5,4,2,5,1,2,1,5,5,5,5,5,1,4,1,1,4,5,1,4,1,4,4,5,1,5,5,1,4,1,5,2,4,1,1,5,5,2,5,1,1,1,4,5,1,4,5,1,5,1,2,4,1,4,2,5,4,4,1,5,4,1,5,1,4,4,5,4,1,2,1,2,4,4,1,1,473.97,8.32,,9.77,,,,455.88,
701,06/01/17 23:07,3,en,06/01/17 22:53,06/01/17 23:07,https://www.prolific.ac/submissions/587011e173ee6100014187c0,Y,,22,m,,1,1,2,1,1,2,2,5,1,4,1,3,4,3,1,5,4,2,1,4,1,2,1,1,1,1,1,4,3,1,1,4,2,1,2,1,4,5,3,1,1,1,5,1,4,4,1,1,3,1,3,4,5,4,2,4,3,5,4,4,3,2,1,4,1,4,5,2,1,2,2,2,2,5,1,4,1,4,4,4,4,4,4,1,2,4,4,2,1,2,1,4,5,4,5,2,2,2,1,2,2,1,5,1,5,1,5,1,1,5,1,5,4,4,1,4,4,1,5,1,4,2,3,4,1,2,1,1,4,4,2,2,844.35,12.15,,9.49,,,,822.71,
