vorname,anzahl,geschlecht
Morgan,1,m
Moritz,1,w
Morsal,1,w
Moses,1,m
Moslem,1,m
Mostafa,1,m
Mouna,1,w
Mounahera,1,w
Muaadh,1,m
Muchen,1,w
Muhab,1,m
Muhamad,1,m
Muhemen,1,m
Mumtaaz,1,w
Munira,1,w
Murphy,1,m
Mustafe,1,m
Mustapha,1,m
Mylo,1,m
Myra,1,w
Nada,1,w
Nadeema,1,w
Nader,1,m
Nadhir,1,m
Nadin,1,w
Nafije,1,w
Nafisa,1,w
Nahel,1,m
Nahom,1,m
Naida,1,w
Naila,1,w
Naim,1,m
Naima,1,w
Nairiti,1,w
Nakshatra,1,w
Nalbira,1,w
Nalin,1,w
Nami,1,w
Naoki,1,m
Narcisa,1,w
Narges,1,w
Narvin,1,w
Naser-Malik,1,m
Nashin,1,w
Nashmia,1,w
Nasib,1,m
Nasir,1,m
Nasra,1,w
Nassim,1,m
Nastassia,1,w
Natalija,1,w
Natan,1,m
Nataniel,1,m
Natka,1,w
Nattawat,1,m
Naue,1,m
Naurah,1,w
Navya,1,w
Nawa,1,w
Nawid,1,m
Nayeli,1,w
Nayeli-Malia,1,w
Naz,1,w
Nazlie,1,w
Nebih,1,m
Neele,1,w
Nefes,1,w
Neila,1,w
Nejla,1,w
Nel,1,w
Nele,1,m
Nelio,1,m
Nelissa,1,w
Nelsona,1,w
Nemuunbaatar,1,m
Nena,1,w
Nenad,1,m
Nepheli,1,w
Nerea,1,w
Nermin,1,w
Nermina,1,w
Nevar,1,m
Neve,1,w
Nevena,1,w
Nevio,1,m
Ngozi,1,w
Niccolo,1,m
Nickolas,1,m
Nicol,1,w
Nicolaij,1,m
Nicolo,1,m
Nicolo',1,m
Nidanur,1,w
Nigina,1,w
Nike,1,w
Nikesh,1,m
Nikias,1,m
Nikodem,1,m
Nikodim,1,m
Nikolaj,1,m
Nikolay,1,m
Nikole,1,w
Nikolla,1,m
Nikoloz,1,m
Nilab,1,w
Nilam,1,w
Nilan,1,m
Nilou,1,w
Nimar,1,m
Nimet,1,w
Nimrat,1,w
Nino,1,w
Ninos,1,m
Nisanur,1,w
Nishan,1,m
Niva,1,w
Nnedi,1,w
Nnenna,1,w
Noah-James,1,m
Noe,1,m
Noelia,1,w
Noelie,1,w
Noelle,1,w
Nohonsa,1,w
Nola,1,w
Nolwen,1,w
Nomi,1,w
Noor,1,w
Noorhuda,1,w
Noorullah,1,m
Nordal,1,m
Norela,1,w
Noris,1,m
Noura,1,w
Nourhan,1,w
Nouria,1,w
Novica,1,m
Noyan,1,m
Nozomi,1,w
Nue,1,m
Nur,1,w
Nurallah,1,m
Nuria,1,w
Nurjanna,1,w
Nurseli,1,w
Obinna,1,m
Oday,1,m
Odette,1,w
Odisea,1,m
Oguz,1,m
Oguzhan,1,m
Ojaswini,1,m
Olga,1,w
Olivier,1,m
Olti,1,m
Oluwadarasimi,1,w
Oluwatimileyi,1,m
Omer,1,m
Omera,1,w
Omotola,1,w
Omoyi,1,w
Ömür,1,m
Orell,1,m
Orest,1,m
Orestis,1,m
Orges,1,m
Oriana,1,w
Oriella,1,w
Orly,1,w
Ornela,1,w
Oskar-Henry,1,m
Osman,1,m
Ottilie,1,w
Oumar-Lamine,1,m
Oviyan,1,m
Owen,1,m
Oytun,1,m
Ozan,1,m
Pakin,1,m
Palwascha,1,w
Palwasha,1,w
Pamina,1,w
Pape,1,m
Paraskevoula,1,w
Paria,1,w
Paride,1,m
Parina,1,w
Paris,1,w
Parker,1,m
Parmin,1,w
Parsa,1,m
Parya,1,w
Pashtana,1,w
Patricia-Philine,1,w
Paul-Anton,1,m
Paulin,1,w
Paulo,1,m
Pavel,1,m
Pavle,1,m
Pavlos,1,m
Paya,1,w
Pearl,1,w
Peer,1,m
Penda,1,w
Pepe,1,m
Per,1,m
Periklis-Athanasios,1,m
Pero,1,m
Perschin,1,w
Pervin,1,w
Perwin,1,w
Phakhin,1,m
Phakjira,1,w
Pham,1,m
Pham,1,w
Phelan,1,m
Phelia,1,w
Phileas,1,m
Philian,1,m
Philina,1,w
Philipp-Alexander,1,m
Phynnley,1,m
Pia-Lilli,1,w
Pia-Sophie,1,w
Pierre-Anton,1,m
Pina,1,w
Pinar,1,w
Pius,1,m
Pjotr,1,m
Pol,1,m
Polat,1,m
Polina,1,w
Polli,1,w
Polly,1,w
Pragnya,1,w
Praise,1,m
Precious,1,w
Premtime,1,w
Presian,1,m
Princess,1,w
Princess-Divine,1,w
Princess-Eve,1,w
Priscila,1,w
Priya,1,w
Qendresa,1,w
Qixin,1,m
Quang,1,m
Quint,1,m
Quoc,1,m
Qurin,1,m
Quynh,1,w
Raavl,1,w
Rachel,1,w
Rachith,1,m
Radia,1,w
Raed,1,m
Rafaela,1,w
Rafail,1,m
Raffael-Antonio,1,m
Raffaele,1,m
Raffaella,1,w
Rafia,1,w
Ragnar,1,m
Rahand,1,m
Rahel,1,m
Rahila,1,w
Rahmeh,1,w
Rahna,1,w
Raian,1,m
Raid,1,m
Rajana,1,w
Rala,1,w
Ram,1,m
Rama,1,w
Ramatoulaye,1,w
Ramin,1,m
Ramiz,1,m
Ramona,1,w
Randa,1,w
Rani,1,m
Ranja,1,w
Ranu,1,m
Ranvir,1,m
Rasa,1,w
Rasha,1,w
Rashida,1,w
Rasim,1,m
Raslen,1,m
Raslene,1,m
Rathan,1,m
Rauant,1,m
Raushan,1,w
Ravza,1,w
Rawdah,1,w
Ray-Madita,1,w
Rayan,1,w
Razan,1,w
Raziye,1,w
Reblina,1,w
Reda,1,m
Redona,1,w
Redur,1,m
Reian,1,m
Remo,1,m
Remy,1,w
Renan,1,w
Renata,1,w
Rene,1,m
Resan,1,w
Resul-Emin,1,m
Retage,1,w
Reuben,1,m
Reyhan,1,w
Rezlan,1,w
Riad,1,m
Rian,1,m
Richmond,1,m
Rico,1,m
Rieke,1,w
Rigon,1,m
Riham,1,w
Rijad,1,m
Rijena,1,w
Rilind,1,m
Rim,1,w
Rioana,1,w
Rion,1,m
Riona,1,w
Rishaan,1,m
Rishid,1,m
Rita,1,w
Rivansa,1,w
River,1,m
Riyad,1,m
Roand,1,m
Roberta,1,w
Roberto,1,m
Robin,1,w
Robin-Elias,1,m
Robinson,1,m
Robynne,1,w
Rodrigue,1,m
Rohat,1,m
Rojvan,1,m
Roko,1,m
Roksana,1,w
Romane,1,w
Romano,1,m
Romeo-Oleg,1,m
Romina,1,w
Romuald,1,m
Ron,1,m
Ronak,1,m
Ronaldinho,1,m
Ronela,1,w
Roni,1,m
Ronika,1,w
Ronisia,1,w
Ronit,1,m
Rosalija,1,w
Rosalinda,1,w
Rosario,1,m
Rosita,1,w
Rossen,1,m
Roukaya,1,w
Rouslene,1,m
Roxana,1,w
Roxy,1,w
Röya,1,w
Ruanyu,1,w
Rubina,1,w
Rufus,1,m
Rugeyye,1,w
Rui,1,m
Ruid,1,m
Ruixin,1,w
Rujin,1,w
Rukhsar,1,w
Ruki,1,w
Rümeysa,1,w
Rumi,1,m
Ruweyda,1,w
Ruy,1,m
Ryan,1,m
Saafir,1,m
Saani,1,w
Saatvik,1,m
Sabine,1,w
Sabir,1,m
Sabre,1,w
Sacdiyo,1,w
Sadaf,1,w
Sadai,1,w
Saden,1,w
Sadik,1,m
Sadin,1,w
Safa,1,w
Saffia,1,w
Safiy-Allah,1,m
Safiye,1,w
Safiyye,1,w
Sahba,1,w
Sahna,1,w
Sahra,1,w
Sai,1,m
Saim-Efe,1,m
Saira,1,w
Salah,1,m
Salahuddin,1,m
Salama,1,w
Saliha,1,w
Saliou,1,m
Salma,1,w
Salome,1,w
Salomi,1,w
Salomon,1,m
Sama,1,w
Samanvitha,1,w
Samar,1,w
Samara,1,w
Samed,1,m
Samer,1,m
Sami-Jean,1,m
Samia,1,w
Samija,1,w
Samim,1,m
Samino,1,m
Samuela,1,w
Samyar,1,m
Sana,1,w
Sanat,1,m
Sanaya,1,w
Sandin,1,m
Sandrina,1,w
Sandrine,1,w
Sandy,1,w
Sangami,1,w
Sangar,1,m
Sanja,1,w
Santa,1,w
Santos-Joel,1,m
Saphira,1,w
Sarah-Elisabeth,1,w
Sarah-Marie,1,w
Saranur,1,w
Sarbaz,1,m
Sarhad,1,m
Sasa,1,m
Sasha,1,m
Sasha,1,w
Saskia,1,w
Sasvan,1,m
Satu,1,w
Savas,1,m
Savelij,1,m
Saverio,1,m
Savin,1,w
Savo,1,m
Sayan,1,m
Sayed,1,m
Sayman,1,m
Sayra,1,w
Scarlett,1,w
Schadi,1,m
Schahed,1,m
Schaniar,1,m
Scharon,1,m
Schayda,1,w
Scherin,1,w
Schilan,1,w
Scott,1,m
Sebastiano,1,m
Sedat,1,m
Sedefa,1,w
Sefora,1,w
Seijiro,1,m
Sekina,1,w
Selina-Jana,1,w
Selinay,1,w
Selma,1,m
Selmin,1,w
Selmon,1,m
Sem,1,m
Sema,1,w
Semir,1,m
Sengül,1,w
Senne,1,m
Senol,1,m
Serafina,1,w
Serafina-Michelle,1,w
Serdal,1,m
Serkan,1,m
Sermed,1,m
Setaish,1,w
Setayesch,1,w
Setayesh,1,w
Seyda,1,w
Seyit,1,m
Seyyedeh,1,w
Shad,1,m
Shahariar,1,m
Shahin,1,m
Shahina,1,w
Shahzad,1,m
Shaila,1,w
Shakira,1,w
Shaleen,1,w
Sham,1,w
Shani,1,w
Shano,1,m
Sharia,1,w
Sharon,1,w
Shayan,1,m
Shengyang,1,m
Sherhad,1,m
Shermine,1,w
Shiho,1,w
Shihoko,1,w
Shina,1,w
Shinji,1,m
Shinkay,1,w
Shirley,1,w
Shneor,1,m
Shoham,1,w
Shriyadita,1,w
Shubh,1,m
Shukrije,1,w
Siavash,1,m
Sid,1,m
Siddhartha,1,m
Sidelya,1,w
Siela,1,w
Sihoon,1,m
Silvan,1,m
Silvana,1,w
Silverio,1,m
Silvester,1,m
Silvia,1,w
Simeon,1,m
Simona,1,w
Simran,1,w
Sina-Marie,1,w
Sinesia,1,w
Sino,1,m
Sion,1,m
Sirikit,1,w
Siska,1,w
Sissi,1,w
Sithika,1,m
Sivan,1,m
Sivashankar,1,m
Siyar,1,m
Skadi,1,w
Skylar,1,w
Skyler,1,w
Sladjana,1,w
Slaveyko,1,m
Smail,1,m
Smajl,1,m
Smera,1,w
Smrithiman,1,m
Snjezana,1,w
Soey,1,w
Sohail,1,m
Sol,1,w
Solana,1,w
Solene,1,w
Solenn,1,w
Soley,1,w
Somaya,1,w
Sonell,1,m
Sonelle,1,w
Sonia,1,w
Sonna,1,w
Sookie,1,w
Sophia,1,m
Sophie-Beatrice,1,w
Sophiea,1,w
Sophien,1,w
Sora,1,w
Sorena,1,w
Sorian,1,m
Sorosh,1,m
Sotiris,1,m
Soukaina,1,w
Soumay,1,m
Spiridon,1,m
Sreshta,1,w
Stellan,1,m
Stephanie,1,w
Stephen,1,m
Stergios,1,m
Sterin,1,w
Stiliani,1,m
Stina,1,w
Stine,1,w
Stipe,1,m
Storm,1,m
Stylianos,1,m
Sua,1,w
Suada,1,w
Suara,1,w
Suat,1,m
Sude,1,w
Sudeis,1,m
Sufyan,1,m
Suhayb,1,m
Suhayla,1,w
Suhejb,1,m
Sulal,1,w
Sulayman,1,m
Sulie,1,w
Sumaya,1,w
Sumeja,1,w
Sümeyra,1,w
Sümeyye,1,w
Sunniva,1,w
Sunny,1,m
Suraja,1,w
Suri,1,w
Surosh,1,m
Surya,1,m
Susanna,1,w
Suyen,1,w
Svea,1,w
Svea-Lina,1,w
Sven,1,m
Sverre,1,m
Sviatosar,1,m
Sydney,1,w
Szymon,1,m
Tabassum,1,w
Tabitha,1,w
Taddeo,1,m
Tahaa,1,m
Tai,1,m
Taichi,1,m
Taisei,1,m
Taisija,1,w
Tajana,1,w
Tajra,1,w
Takiyou,1,m
Tali,1,w
Talia-Ayda,1,w
Taliya,1,w
Talya,1,w
Tamanna,1,w
Tamas,1,m
Tamim,1,m
Tammo,1,m
Tanish,1,m
Tanju,1,m
Tano,1,m
Tao,1,m
Tariq,1,m
Tarja,1,w
Tasan,1,m
Tate,1,m
Tatjana,1,w
Tatsuki,1,m
Taufiq,1,m
Tawab,1,m
Tawfiq,1,m
Tayfun,1,m
Tayma,1,w
Tayo,1,m
Tegan,1,w
Temina,1,w
Teng,1,m
Tengo,1,m
Teo,1,m
Tess,1,w
Teyun,1,m
Thadeus,1,m
Thai,1,m
Thais,1,w
Thamer,1,m
Thanh,1,w
Thao,1,w
Thea-Sophie,1,w
Thekla,1,w
Theodore,1,m
Theodoros,1,m
Theophil,1,m
Theresia,1,w
Theresinia,1,w
Thiago,1,m
Thibaud,1,m
Thidawadee,1,w
Thiemo,1,m
Thien,1,m
Thien,1,w
Thilo,1,m
Thivakar,1,m
Thiviha,1,w
Thore,1,m
Thuy,1,w
Tiana,1,w
Tiara,1,w
Tibor,1,m
Tiffany,1,w
Tihana,1,w
Tillie,1,w
Tilman,1,m
Timm,1,m
Timna,1,w
Timothee,1,m
Timotheus,1,m
Timothy,1,m
Timur,1,m
Tina,1,w
Ting,1,w
Tino,1,m
Tiya,1,w
Tjark,1,m
Tolga,1,m
Tomke,1,m
Tommaso,1,m
Tommy,1,m
Tomoka,1,w
Tomoya,1,m
Tony,1,m
Toprak,1,m
Tori,1,w
Tosh,1,m
Tossoumanabe,1,m
Trajanus,1,m
Tram,1,w
Traore,1,w
Trenton,1,m
Triumf,1,m
Tsomo,1,w
Tuasakidila,1,m
Tugberk,1,m
Tugra,1,m
Tunahan,1,m
Tung,1,m
Turgay,1,m
Tuuli,1,w
Tuyet,1,w
Tyrese,1,m
Tyrique,1,m
Uchena,1,m
Uma,1,w
Umejr,1,m
Undine,1,w
Unique,1,m
Uras,1,m
Urtesa,1,w
Usman,1,m
Usswa,1,w
Uwaila,1,w
Uwais,1,m
Vaea,1,w
Valendina,1,w
Valentina-Anastasia,1,w
Valentine,1,w
Valerya,1,w
Valind,1,m
Valnesa,1,w
Vanja,1,w
Vasil,1,m
Vasiliki,1,w
Vasilka,1,w
Vedanshi,1,w
Vega,1,w
Veith,1,m
Velia,1,w
Velin,1,m
Venanzia,1,w
Venezia,1,w
Veniamin,1,m
Veronica,1,w
Victorine,1,w
Victory,1,w
Vid,1,m
Vida,1,w
Viggo,1,m
Vihar,1,m
Vilius,1,m
Vin,1,m
Vina,1,w
Vincenz,1,m
Vinh,1,m
Vinja,1,w
Vinwar,1,m
Violetta,1,w
Vito,1,m
Vittoria,1,w
Vittorio,1,m
Viviane,1,w
Vjosa,1,w
Vlad,1,m
Volkan,1,m
Vsevolod,1,m
Vu,1,w
Vuk,1,m
Wahid,1,m
Wajdan,1,m
Wanda,1,w
Wanja,1,m
Warvan,1,m
Warya,1,m
Wasim,1,m
Wasima,1,w
Wassim,1,m
Weniamin,1,m
Wenzel,1,m
Wesal,1,m
Wiatscheslaw,1,m
Wiebke-Sophie,1,w
Wiktoria,1,w
Wilhelm,1,m
Willow,1,w
Winkar,1,m
Wojciech,1,m
Wyatt,1,m
Wynona,1,w
Xaver-Maximilian,1,m
Xavier,1,m
Xavier,1,w
Xhemile,1,w
Xheneta,1,w
Xherdan,1,m
Xhesina,1,w
Yaara,1,w
Yagmur,1,w
Yahaya,1,m
Yahia,1,m
Yahye,1,m
Yakov,1,m
Yakup,1,m
Yalda,1,w
Yaldah,1,w
Yana,1,w
Yanan,1,w
Yango,1,m
Yani,1,m
Yani,1,w
Yanick,1,m
Yanka,1,w
Yaren,1,w
Yaron,1,m
Yaroslava,1,w
Yaseen,1,m
Yasir,1,m
Yasmina,1,w
Yassin,1,m
Yassir,1,m
Yavuz,1,m
Yaz,1,w
Yazmin,1,w
Yechen,1,m
Yeral,1,m
Yestyn,1,m
Yi,1,m
Yicheng,1,w
Yilin,1,w
Yinmiao,1,w
Yirui,1,m
Yisen,1,m
Yize,1,m
Ylenia,1,w
Yllka,1,w
Ylva,1,w
Ylvi,1,w
Yoan,1,m
Yoanna,1,w
Yohanna,1,w
Yohannes,1,m
Yoko,1,w
Yonael,1,m
Yonathan,1,m
Yosef,1,m
Yoshinari,1,m
Yosmel,1,m
Yossi,1,m
Younus,1,m
Yu,1,m
Yu-Jin,1,w
Yuanchang,1,m
Yuecheng,1,m
Yujia,1,w
Yuki,1,m
Yukiko,1,w
Yuliya,1,w
Yuma,1,m
Yuma,1,w
Yume,1,w
Yunfei,1,m
Yung-Jia,1,w
Yunis,1,m
Yunya,1,w
Yusa,1,m
Yusef,1,m
Yuseyra,1,w
Yusf,1,m
Yusra,1,w
Yussuf,1,m
Yutaka,1,w
Yuzuka,1,w
Yvaine,1,w
Yves,1,m
Yvonne,1,w
Zabrin,1,w
Zacharias,1,m
Zahid,1,m
Zainab,1,w
Zaiton,1,w
Zakira,1,w
Zaman,1,m
Zarah,1,w
Zayan,1,m
Zayd,1,m
Zdenka,1,w
Zeinab,1,w
Zeki-Efe,1,m
Zeno,1,m
Zerda,1,w
Zeren,1,w
Zerin,1,m
Zerin,1,w
Zeryam,1,w
Zeynab,1,w
Zhivko,1,m
Ziad,1,m
Zilan,1,w
Zinar,1,m
Ziva,1,w
Ziyan,1,w
Zobia,1,w
Zoe-Jolie,1,w
Zoe-Philine,1,w
Zohaib,1,m
Zohra,1,w
Zoja,1,w
Zora,1,w
Zoran,1,m
Zorica,1,w
Zoubair,1,m
Züleyha,1,w
